,Rank,Artist,Song,Year
0,1,Bing Crosby with the Ken Darby Singers,White Christmas,1942
1,2,Michael Jackson,Billie Jean,1982
2,3,Queen,Bohemian Rhapsody,1975
3,4,Nirvana,Smells Like Teen Spirit,1991
4,5,The Beatles,I Want to Hold Your Hand,1963
5,6,Marvin Gaye,I Heard It Through the Grapevine,1968
6,7,Bee Gees,Stayin’ Alive,1977
7,8,Judy Garland,Over the Rainbow,1939
8,9,Sinéad O’Connor,Nothing Compares 2 U,1990
9,10,OutKast,Hey Ya!,2003
10,11,Fred Astaire & Ginger Rogers with Leo Reisman’s Orchestra,Cheek to Cheek,1935
11,12,Elvis Presley,Jailhouse Rock,1957
12,13,Chuck Berry,Johnny B. Goode,1958
13,14,Bessie Smith with Louis Armstrong,St. Louis Blues,1925
14,15,Stevie Wonder,Superstition,1972
15,16,Les Brown with Doris Day,Sentimental Journey,1945
16,17,Ray Charles,What’d I Say,1959
17,18,The Ronettes,Be My Baby,1963
18,19,Beyoncé,Single Ladies (Put a Ring on It),2008
19,20,Buddy Holly and The Crickets,That’ll Be the Day,1957
20,21,The Beach Boys,God Only Knows,1966
21,22,Paul Robeson,Ol’ Man River,1928
22,23,Les Paul with Mary Ford,How High the Moon,1951
23,24,Patsy Cline,Crazy,1961
24,25,Kanye West with Jamie Foxx,Gold Digger,2005
25,26,Joy Division,Love Will Tear Us Apart,1980
26,27,The Jackson 5,I Want You Back,1969
27,28,Little Richard,Tutti Frutti,1955
28,29,Billie Holiday,Strange Fruit,1939
29,30,Lady Gaga,Bad Romance,2009
30,31,The Supremes,Where Did Our Love Go,1964
31,32,Cab Calloway,Minnie the Moocher (The Ho De Ho Song),1931
32,33,New Order,Blue Monday,1983
33,34,Woody Guthrie,This Land Is Your Land,1944
34,35,David Bowie,Heroes,1977
35,36,Fleetwood Mac,Dreams,1977
36,37,Prince,Kiss,1986
37,38,Duke Ellington,It Don’t Mean a Thing if It Ain’t Got That Swing,1932
38,39,Missy “Misdemeanor” Elliott,Get Ur Freak On,2001
39,40,Public Enemy,Fight the Power,1989
40,41,The Who,Baba O’Riley,1971
41,42,The Andrews Sisters,Boogie Woogie Bugle Boy,1941
42,43,The Rolling Stones,Gimme Shelter,1969
43,44,Roy Orbison,Crying,1961
44,45,Pulp,Common People,1995
45,46,Donna Summer,I Feel Love,1977
46,47,Hank Williams,"Cold, Cold Heart",1951
47,48,The Carter Family,Wildwood Flower,1928
48,49,Bruce Springsteen,Thunder Road,1975
49,50,Mahalia Jackson,Move on Up a Little Higher,1948
50,51,Stan Getz & Astrud Gilberto,The Girl from Ipanema,1964
51,52,Radiohead,Paranoid Android,1997
52,53,George Jones,He Stopped Loving Her Today,1980
53,54,Bob Dylan,Subterranean Homesick Blues,1965
54,55,Ramones,I Wanna Be Sedated,1978
55,56,Louis Armstrong,Stardust,1931
56,57,Tupac Shakur (2pac) with Dr. Dre & Roger Troutman,California Love,1996
57,58,"Crosby, Stills & Nash",Suite: Judy Blue Eyes,1969
58,59,James Brown,"Get Up, I Feel Like Being a Sex Machine",1970
59,60,Johnny Cash,Folsom Prison Blues,1955
60,61,Jay-Z,99 Problems,2004
61,62,R.E.M.,It’s the End of the World As We Know It (And I Feel Fine),1987
62,63,Boney M,Rivers of Babylon,1978
63,64,Black Sabbath,Iron Man,1970
64,65,Spike Jones,Der Fuehrere’s Face,1942
65,66,Lena Horne,Stormy Weather (Keeps Rainin' All the Time),1942
66,67,Aretha Franklin,I Never Loved a Man the Way I Love You,1967
67,68,Frank Sinatra,I’ve Got You Under My Skin,1956
68,69,Madonna,Borderline,1984
69,70,Loretta Lynn,Coal Miner’s Daughter,1970
70,71,Dolly Parton,Jolene,1973
71,72,Ethel Merman,I Got Rhythm,1930
72,73,Funkadelic,One Nation Under a Groove,1978
73,74,Al Jolson,My Mammy,1928
74,75,The Band,The Night They Drove Old Dixie Down,1969
75,76,Led Zeppelin,Immigrant Song,1970
76,77,Otis Redding,I’ve Been Loving You Too Long,1965
77,78,Metallica,Master of Puppets,1986
78,79,Kitty Wells,It Wasn’t God Who Made Honky-Tonk Angels,1952
79,80,Betty Hutton,It Had to Be You,1944
80,81,The Notorious B.I.G.,Juicy,1994
81,82,Arcade Fire,Wake Up,2005
82,83,Ray Heatherton,Where or When,1937
83,84,Ella Fitzgerald,Baby It’s Cold Outside,1949
84,85,Janelle Monáe with Big Boi,Tightrope,2010
85,86,Big Star,September Gurls,1974
86,87,Wu-Tang Clan,C.R.E.A.M. (Cash Rules Everything Around Me),1994
87,88,Velvet Underground,Rock and Roll,1970
88,89,Joni Mitchell,A Case of You,1971
89,90,LCD Soundsystem,All My Friends,2007
90,91,Pet Shop Boys,Being Boring,1990
91,92,A Tribe Called Quest with Busta Rhymes,Scenario,1992
92,93,Richard Thompson,1952 Vincent Black Lightning,1991
93,94,Bonnie Raitt,Angel from Montgomery,1971
94,95,Willie Mae “Big Mama’ Thornton,Ball and Chain,1968
95,96,Fela Kuti,Zombie,1976
96,97,Peter Tosh,Equal Rights,1977
97,98,Odetta Holmes,Take This Hammer,1955
98,99,Lucinda Williams,Pineola,1992
99,100,Lil Wayne,Georgia Bush,2006
